analysis_id,t98rh96gcijre9g
gene_symbol,Slc45a3
gene_accession_id,MGI:1922082
parameter_id,IMPC_XRY_002_001
mouse_strain,C57BL
parameter_name,Zygomatic bone
mouse_life_stage,Early adult
pvalue,0.4218961
