analysis_id,4pt7cz4slwv8b88
pvalue,0.5904861
parameter_name,Tremor
gene_accession_id,MGI:1914561
parameter_id,TCPLA_CSD_030_001
mouse_life_stage,E18.5
mouse_strain,C57BL
gene_symbol,Nanp
