gene_symbol,Rgs20
parameter_id,M-G-P_016_001_005
gene_accession_id,MGI:1929866
pvalue,1.442391
parameter_name,Mean-cell-volume
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,w4k3gqxbkx6wc9y
