analysis_id,fi9z06utp8c5ez5
parameter_id,JAX_LDT_003_001
parameter_name,Time mobile light side
mouse_life_stage,Early adult
mouse_strain,B6J
pvalue,0.1636565
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
