analysis_id,e421eyzcd2d55bg
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_025_001
gene_accession_id,MGI:2653612
gene_symbol,Amigo1
parameter_name,DN CD25- NKT cells
pvalue,0.6327683
