gene_symbol,Gfi1b
analysis_id,a4jz94184cv3c9p
parameter_name,Prepulse inhibition - PP2
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_702
gene_accession_id,MGI:1276578
mouse_strain,C57BL
pvalue,0.5620377
