parameter_name,Periphery resting time
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:105072
pvalue,0.8387692
gene_symbol,Rab22a
analysis_id,f003i7d99119394
parameter_id,IMPC_OFD_011_001
