parameter_name,% Freezing duration pre-cue-2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ICS_FEA_019_001
pvalue,0.460874
gene_symbol,Rgs20
analysis_id,l8wq24g3a4qa044
gene_accession_id,MGI:1929866
