parameter_name,Cleft palate
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:2684980
parameter_id,IMPC_GEP_076_001
gene_symbol,Mms22l
pvalue,0.4675152
analysis_id,8iu2r62tv9520ve
