analysis_id,w7l4m31974vj4qt
pvalue,0.8153351
gene_symbol,Lurap1
parameter_id,JAXLA_CSD_007_001
gene_accession_id,MGI:1915325
parameter_name,Coat - color - abdomen
mouse_life_stage,Early adult
mouse_strain,C57BL
