parameter_name,Center resting time
parameter_id,JAX_OFD_015_001
gene_symbol,Ncaph
pvalue,0.2807242
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2444777
analysis_id,x6ba8vojfh991l2
