analysis_id,43kz7s2o28t7e9y
gene_accession_id,MGI:1918764
parameter_id,IMPC_CSD_030_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Sfpq
pvalue,0.1845383
parameter_name,Tremor
