parameter_name,Sodium
gene_accession_id,MGI:1917810
pvalue,0.5010102
analysis_id,fyy407fa5yie1qi
mouse_life_stage,E12.5
gene_symbol,Wars2
mouse_strain,C57BL
parameter_id,IMPC_CBC_001_001
