parameter_name,Alkaline phosphatase
analysis_id,1tj22326633ko9k
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:95457
pvalue,0.9689369
parameter_id,IMPC_CBC_014_001
gene_symbol,Mecom
