gene_symbol,Tatdn3
analysis_id,81ma988193029el
parameter_name,Total ab T cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1916222
pvalue,0.2769097
mouse_life_stage,Early adult
parameter_id,MGP_IMM_070_001
