gene_symbol,Ola1
parameter_name,Plasmacytoid DC - % of DC
mouse_life_stage,Early adult
gene_accession_id,MGI:1914309
analysis_id,3p66q169vyu2h4y
pvalue,0.7264931
mouse_strain,C57BL
parameter_id,MGP_MLN_058_001
