parameter_name,Hindlimb digit - size
gene_symbol,Etfdh
pvalue,0.4574953
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_047_001
analysis_id,c24417j97tv4sz8
gene_accession_id,MGI:106100
mouse_strain,C57BL
