parameter_id,IMPC_GPO_002_001
gene_symbol,COL6A3
analysis_id,gad5j7467sx2100
parameter_name,Placenta Morphology
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
pvalue,0.44639
mouse_strain,C57BL
