parameter_id,ESLIM_007_001_009
mouse_strain,C57BL
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
parameter_name,Periphery average speed
mouse_life_stage,Early adult
pvalue,0.07090064
analysis_id,4q5xm9ax202w003
