analysis_id,38kt8xxn126z4g2
mouse_strain,C57BL
gene_accession_id,MGI:3650254
mouse_life_stage,Early adult
gene_symbol,Zfp683
parameter_id,MGP_PBI_040_001
parameter_name,Eosinophil number
pvalue,0.9007538
