analysis_id,92756l8m0u7klg2
gene_accession_id,MGI:104805
mouse_life_stage,Early adult
mouse_strain,C56BL
gene_symbol,Snrpb2
parameter_name,Lens
parameter_id,IMPC_EYE_016_001
pvalue,0.2716279
