parameter_name,B cell percentage
gene_accession_id,MGI:2685277
mouse_strain,C57BL
gene_symbol,Zyg11b
analysis_id,zbk18a25goaw7dn
pvalue,0.0978443
parameter_id,MGP_PBI_014_001
mouse_life_stage,E18.5
