parameter_name,lens opacity
gene_accession_id,MGI:3045306
pvalue,0.7800164
mouse_strain,C57BL
analysis_id,7yha90s08gu6v6b
mouse_life_stage,Early adult
gene_symbol,Exd1
parameter_id,M-G-P_014_001_010
