gene_symbol,Etfdh
mouse_life_stage,Early adult
analysis_id,w38o8542556q0pc
gene_accession_id,MGI:106100
parameter_name,center - distance
parameter_id,M-G-P_007_001_010
pvalue,0.3491851
mouse_strain,C57BL
