gene_symbol,Tox
mouse_strain,C57BL
analysis_id,5q6pfk42h440925
parameter_id,M-G-P_007_001_008
parameter_name,Periphery - Permanence Time
pvalue,0.9123043
gene_accession_id,MGI:2181659
mouse_life_stage,Early adult
