parameter_name,PQ
gene_accession_id,MGI:109356
parameter_id,IMPC_ECG_005_001
mouse_strain,C57BL
pvalue,0.3605823
mouse_life_stage,Early adult
analysis_id,42i40wk48nqcui0
gene_symbol,Snap23
