gene_symbol,Sprr1b
analysis_id,n730vl5hh8ib27m
parameter_id,MGP_IMM_010_001
gene_accession_id,MGI:106659
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Effector Treg cells - % of Treg
pvalue,0.7543513
