gene_symbol,Wars2
gene_accession_id,MGI:1917810
parameter_name,Naive CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4682795
analysis_id,69i1nmlt5cwnr15
parameter_id,MGP_MLN_015_001
