parameter_id,IMPC_DXA_009_001
mouse_life_stage,Early adult
gene_symbol,Rab3gap2
pvalue,0.8327433
gene_accession_id,MGI:1916043
mouse_strain,C57BL
parameter_name,Fat/Body weight
analysis_id,j8l10411y12b77s
