gene_symbol,Mov10
parameter_id,IMPC_CSD_007_001
mouse_life_stage,Early adult
pvalue,0.630413
analysis_id,v685c6flq9wmmm9
mouse_strain,C57BL
gene_accession_id,MGI:97054
parameter_name,Coat - color - abdomen
