parameter_id,IMPC_OWT_004_001
pvalue,0.1519785
mouse_life_stage,Early adult
gene_symbol,Zyg11b
parameter_name,Right kidney weight
analysis_id,81j3d955ms05395
mouse_strain,C57BL
gene_accession_id,MGI:2685277
