parameter_id,IMPC_ECG_008_001
parameter_name,ST
pvalue,0.2489813
mouse_strain,B6J
analysis_id,v5pg8k09uljko13
mouse_life_stage,Early adult
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
