parameter_name,Anophthalmia
gene_accession_id,MGI:108072
pvalue,0.8752191
gene_symbol,Traf6
parameter_id,IMPC_GEO_048_002
analysis_id,b3m24556505o2c6
mouse_strain,C57BL
mouse_life_stage,Early adult
