analysis_id,0mp5r73877swx13
parameter_name,DN CD44+CD62L- NKT cells
mouse_strain,C57BL
pvalue,0.3490485
gene_symbol,Rnf114
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_046_001
gene_accession_id,MGI:1933159
