pvalue,0.8391907
gene_accession_id,MGI:2685266
mouse_life_stage,Early adult
gene_symbol,Pglyrp3
mouse_strain,C57BL
parameter_name,Whole arena resting time
parameter_id,ESLIM_007_001_003
analysis_id,u61fpg2t5x57684
