parameter_name,Fat/Body weight
mouse_strain,C57BL
parameter_id,JAXLA_DXA_009_001
gene_symbol,Trdmt1
gene_accession_id,MGI:1274787
analysis_id,joq96454002224w
pvalue,0.6481937
mouse_life_stage,Early adult
