parameter_id,IMPC_ECG_005_001
gene_accession_id,MGI:1924315
parameter_name,PQ
pvalue,0.4671142
gene_symbol,Ints7
analysis_id,elbl495703208un
mouse_life_stage,E9.5
mouse_strain,C57BL
