gene_symbol,Sfpq
analysis_id,1245wkt24cxp2c7
parameter_id,IMPC_GRS_009_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1918764
pvalue,0.5334606
parameter_name,Forelimb and hindlimb grip strength measurement mean
