analysis_id,64y4b9720czekbo
parameter_name,Light side time spent
pvalue,0.7934044
mouse_life_stage,Early adult
parameter_id,JAX_LDT_002_001
gene_accession_id,MGI:1346088
gene_symbol,Cd52
mouse_strain,C57BL
