analysis_id,0n555s0ajc0l71k
mouse_strain,C57BL
pvalue,0.8422745
mouse_life_stage,Early adult
gene_symbol,Mgst2
parameter_name,Total NK cells - % of CD45+
gene_accession_id,MGI:2448481
parameter_id,MGP_IMM_033_001
