analysis_id,nkx37df7lb8iv39
mouse_strain,C57BL
gene_symbol,Wars2
gene_accession_id,MGI:1917810
parameter_id,IMPC_IMM_004_001
mouse_life_stage,Early adult
parameter_name,NKT cells (panel A)
pvalue,0.947698
