analysis_id,9532348kguq42oq
parameter_id,IMPC_IMM_025_001
gene_accession_id,MGI:103302
parameter_name,DN CD25- NKT cells
gene_symbol,Bmp7
mouse_life_stage,Early adult
pvalue,0.7826927
mouse_strain,C57BL
