parameter_id,ESLIM_007_001_015
gene_accession_id,MGI:2653612
mouse_life_stage,Early adult
analysis_id,33d4wm5s79l5574
parameter_name,Number of centre entries
mouse_strain,C57BL
pvalue,0.1135079
gene_symbol,Amigo1
