analysis_id,n58ckvc8513641r
parameter_name,Fat/Body weight
gene_accession_id,MGI:1914309
pvalue,0.6339816
mouse_life_stage,Early adult
parameter_id,JAXLA_DXA_009_001
mouse_strain,C57BL
gene_symbol,Ola1
