analysis_id,a4158k366gnuebx
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
gene_accession_id,MGI:1915087
parameter_id,IMPC_IMM_005_002
mouse_strain,C57BL
pvalue,0.917648
mouse_life_stage,E12.5
gene_symbol,Tiprl
