analysis_id,775h5hl66zrpw45
gene_symbol,Bmi1
gene_accession_id,MGI:88174
parameter_name,Number of rears - total
pvalue,0.7917487
parameter_id,IMPC_OFD_021_001
mouse_life_stage,E12.5
mouse_strain,C57BL
