parameter_id,JAXLA_DXA_009_001
gene_accession_id,MGI:2448481
parameter_name,Fat/Body weight
gene_symbol,Mgst2
mouse_strain,C57BL
pvalue,0.9521933
mouse_life_stage,Early adult
analysis_id,4x06947933w156s
