analysis_id,zx4d7ugs55o523p
mouse_life_stage,Early adult
gene_symbol,Slc39a10
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
pvalue,0.2000996
gene_accession_id,MGI:1914515
mouse_strain,C57BL
parameter_id,IMPC_IMM_005_002
