gene_symbol,Mms22l
mouse_life_stage,Early adult
pvalue,0.3099566
analysis_id,brmkj775jqwo283
mouse_strain,C57BL
parameter_name,Click-evoked ABR threshold
gene_accession_id,MGI:2684980
parameter_id,IMPC_ABR_002_001
