gene_symbol,Hspa5
gene_accession_id,MGI:95835
analysis_id,hp76z8r6tmf086i
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.2476642
parameter_id,MGP_IMM_101_001
mouse_strain,C57BL
