gene_symbol,Dnaaf9
Parameter_id,JAXLA_CBC_015_001
mouse_strain,C57BL
gene_accession_id,MGI:1923029
parameter_name,Total cholesterol
pvalue,0.7618574
Analysis_id,988k3a9tqf1y92t
Mouse_life_stage,Early adult
