analysis_id,1f70i80m28d5ir6
parameter_id,MGP_IMM_073_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0.1702164
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_symbol,AU040320
gene_accession_id,MGI:2140475
