parameter_name,Calcium
analysis_id,7j7771o4q5b3b7h
mouse_life_stage,Early adult
pvalue,0.7749254
mouse_strain,C57BL
parameter_id,IMPC_CBC_009_001
gene_accession_id,MGI:1913838
gene_symbol,Cmpk1
