mouse_life_stage,Early adult
pvalue,0.4730537
parameter_name,Large Unstained Cell (LUC) count
mouse_strain,129SV
gene_symbol,Bpifa3
parameter_id,IMPC_HEM_039_001
gene_accession_id,MGI:1920638
analysis_id,ys0191281oe233g
