parameter_id,M-G-P_008_001_013
gene_accession_id,MGI:1346088
pvalue,0.6654759
analysis_id,1i532511801e1o2
parameter_name,Startle Response
mouse_strain,C57BL
gene_symbol,Cd52
mouse_life_stage,Early adult
