gene_symbol,Lcn2
parameter_name,Mean platelet volume
mouse_life_stage,Early adult
pvalue,0.6219662
gene_accession_id,MGI:96757
analysis_id,82yocp9u5o9ic74
mouse_strain,C57BL
parameter_id,IMPC_HEM_019_001
