parameter_name,Center distance travelled
analysis_id,1gpf429u9y9z1rc
pvalue,0.6949422
parameter_id,JAX_OFD_014_001
mouse_strain,C57BL
gene_accession_id,MGI:1921493
gene_symbol,Slx4ip
mouse_life_stage,Early adult
