parameter_name,Lean/Body weight
mouse_strain,C57BL
parameter_id,ESLIM_005_001_702
gene_accession_id,MGI:1934811
analysis_id,36h7d6kp22mm4v2
mouse_life_stage,Late adult
pvalue,0.5693866
gene_symbol,Nucks1
