parameter_name,Activity (body position)
gene_symbol,Slc2a8
parameter_id,IMPC_CSD_029_001
mouse_life_stage,Early adult
analysis_id,dis9b2k4345pg9f
pvalue,0.7457123
mouse_strain,C57BL
gene_accession_id,MGI:1860103
