parameter_name,center - resting time
analysis_id,v240ea0w717m30x
pvalue,0.5905312
mouse_life_stage,Early adult
gene_symbol,Atrn
gene_accession_id,MGI:1341628
mouse_strain,C57BL
parameter_id,M-G-P_007_001_011
