analysis_id,9r8xsv658w7v6m1
mouse_life_stage,E12.5
pvalue,0.3430324
gene_accession_id,MGI:99501
gene_symbol,Fgb
parameter_name,Snout morphology
mouse_strain,C57BL
parameter_id,MGP_CSD_066_001
