gene_symbol,Nr0b2
analysis_id,0z0639d48881292
gene_accession_id,MGI:1346344
parameter_id,HMGULA_SHI_009_001
mouse_strain,B6J
mouse_life_stage,Early adult
pvalue,0.6030234
parameter_name,Startle response
