analysis_id,wl848975l6o5033
gene_accession_id,MGI:2385156
gene_symbol,Sdcbp2
parameter_id,ICS_FEA_019_001
parameter_name,% Freezing duration pre-cue-2
pvalue,0.8956569
mouse_strain,C57BL
mouse_life_stage,Early adult
