analysis_id,9l46r20usaff78f
pvalue,0.4577361
gene_symbol,Frmpd1
parameter_id,MGP_PBI_004_001
mouse_strain,C57BL
gene_accession_id,MGI:2446274
mouse_life_stage,Middle aged adult
parameter_name,CD8+ alpha beta T cell percentage
